id,Country,GDP per capita,Energy consumption per capita (kWh)
634,Qatar,64.783,198418.12
352,Iceland,71.351,179962.8
702,Singapore,64.106,169886.08
780,Trinidad and Tobago,16.637,142118.82
784,United Arab Emirates,43.101,137317.77
414,Kuwait,32,108127.06
124,Canada,46.55,105539.88
578,Norway,74.983,91240.272
682,Saudi Arabia,23.139,89451.938
512,Oman,15.343,84532.482
840,United States,65.134,79897.151
442,Luxembourg,115.429,76658.118
36,Australia[g],54.764,70644.033
795,Turkmenistan,8.125,67658.403
410,South Korea,32.143,67083.32
56,Belgium,46.2,65302.717
752,Sweden,52.898,62046.921
528,Netherlands,53.053,57046.584
643,Russia,11.606,56756.466
246,Finland[n],48.68,55118.024
554,New Zealand,43.265,53224.651
233,Estonia,23.734,50000.799
40,Austria,49.701,46523.958
398,Kazakhstan,9.793,46415.639
344,Hong Kong (China),49.181,46370.72
276,Germany,46.232,43703.379
364,Iran,7.282,41354.455
250,France[b],41.694,41281.299
392,Japan,40.064,40888.804
372,Ireland,81.645,37739.296
705,Slovenia,26.058,37446.178
458,Malaysia[f],11.414,37053.569
376,Israel,46.378,36717.179
756,Switzerland,85.139,36542.174
724,Spain,29.816,34004.435
208,Denmark,60.656,33534.557
703,Slovakia,19.256,33458.196
826,United Kingdom,41.855,32249.735
616,Poland,15.727,31355.418
112,Belarus,6.674,31081.284
300,Greece,19.605,30383.697
100,Bulgaria,9.704,29649.22
380,Italy,33.09,29239.012
348,Hungary,16.879,28488.966
620,Portugal,23.351,28328.318
156,China[a],10.004,27452.478
196,Cyprus,20.818,27022.732
710,South Africa,6.001,25619.735
440,Lithuania,19.792,24641.049
152,Chile,14.896,24269.273
428,Latvia,17.883,23136.925
191,Croatia,14.628,22870.486
764,Thailand,7.851,22398.508
862,Venezuela,4.733,21691.926
792,Turkey,9.127,21609.123
804,Ukraine,3.495,21501.22
32,Argentina,10.041,21479.671
642,Romania,12.914,19665.135
31,Azerbaijan[k],4.782,18127.566
484,Mexico,9.849,16810.783
12,Algeria,3.975,16376.102
76,Brazil,8.755,16325.047
368,Iraq,5.73,15733.708
860,Uzbekistan,1.756,15022.418
807,North Macedonia,6.094,14919.496
218,Ecuador,6.184,11899.704
704,Vietnam,2.715,11861.738
818,Egypt,3.161,10753
170,Colombia,6.432,10618.229
604,Peru,6.978,9924.199
360,Indonesia,4.136,9146.767
504,Morocco,3.282,7227.94
356,India,2.116,6923.931
