Entity,Code,Year,Energy consumption per capita (kWh)
Africa,,2019,4219.738
Algeria,DZA,2019,16376.102
Argentina,ARG,2019,21479.671
Australia,AUS,2019,70644.033
Austria,AUT,2019,46523.958
Azerbaijan,AZE,2019,18127.566
Bangladesh,BGD,2019,2995.38
Belarus,BLR,2019,31081.284
Belgium,BEL,2019,65302.717
Brazil,BRA,2019,16325.047
Bulgaria,BGR,2019,29649.22
Canada,CAN,2019,105539.881
Chile,CHL,2019,24269.273
China,CHN,2019,27452.478
Colombia,COL,2019,10618.229
Croatia,HRV,2019,22870.486
Cyprus,CYP,2019,27022.732
Czechia,CZE,2019,44313.391
Denmark,DNK,2019,33534.557
Ecuador,ECU,2019,11899.704
Egypt,EGY,2019,10753
Estonia,EST,2019,50000.799
Europe,,2019,31159.831
Finland,FIN,2019,55118.024
France,FRA,2019,41281.299
Germany,DEU,2019,43703.379
Greece,GRC,2019,30383.697
Hong Kong,HKG,2019,46370.72
Hungary,HUN,2019,28488.966
Iceland,ISL,2019,179962.796
India,IND,2019,6923.931
Indonesia,IDN,2019,9146.767
Iran,IRN,2019,41354.455
Iraq,IRQ,2019,15733.708
Ireland,IRL,2019,37739.296
Israel,ISR,2019,36717.179
Italy,ITA,2019,29239.012
Japan,JPN,2019,40888.804
Kazakhstan,KAZ,2019,46415.639
Kuwait,KWT,2019,108127.063
Latvia,LVA,2019,23136.925
Lithuania,LTU,2019,24641.049
Luxembourg,LUX,2019,76658.118
Malaysia,MYS,2019,37053.569
Mexico,MEX,2019,16810.783
Morocco,MAR,2019,7227.94
Netherlands,NLD,2019,57046.584
New Zealand,NZL,2019,53224.651
North America,,2019,88336.805
North Macedonia,MKD,2019,14919.496
Norway,NOR,2019,91240.272
Oman,OMN,2019,84532.482
Pakistan,PAK,2019,4566.901
Peru,PER,2019,9924.199
Philippines,PHL,2019,5200.079
Poland,POL,2019,31355.418
Portugal,PRT,2019,28328.318
Qatar,QAT,2019,198418.117
Romania,ROU,2019,19665.135
Russia,RUS,2019,56756.466
Saudi Arabia,SAU,2019,89451.938
Singapore,SGP,2019,169886.083
Slovakia,SVK,2019,33458.196
Slovenia,SVN,2019,37446.178
South Africa,ZAF,2019,25619.735
South Korea,KOR,2019,67083.32
Spain,ESP,2019,34004.435
Sri Lanka,LKA,2019,4671.618
Sweden,SWE,2019,62046.921
Switzerland,CHE,2019,36542.174
Taiwan,TWN,2019,56205.531
Thailand,THA,2019,22398.508
Trinidad and Tobago,TTO,2019,142118.82
Turkey,TUR,2019,21609.123
Turkmenistan,TKM,2019,67658.403
Ukraine,UKR,2019,21501.22
United Arab Emirates,ARE,2019,137317.77
United Kingdom,GBR,2019,32249.735
United States,USA,2019,79897.151
Uzbekistan,UZB,2019,15022.418
Venezuela,VEN,2019,21691.926
Vietnam,VNM,2019,11861.738
World,OWID_WRL,2019,21027.415
